연도,행정구역_동,총인구수,남자_인구수,여자_인구수
2020,호수동,44212.0,22209.0,22003.0
2021,고잔동,21554.0,10787.0,10767.0
2021,대부동,9060.0,4756.0,4304.0
2021,반월동,17516.0,8837.0,8679.0
2021,백운동,21344.0,10723.0,10621.0
2021,본오1동,37238.0,19342.0,17896.0
2021,본오2동,26186.0,12989.0,13197.0
2021,본오3동,19572.0,9743.0,9829.0
2021,부곡동,21624.0,11108.0,10516.0
2021,사동,32603.0,17137.0,15466.0
2021,사이동,32581.0,16491.0,16090.0
2021,선부1동,17672.0,9070.0,8602.0
2021,선부2동,15948.0,8620.0,7328.0
2021,선부3동,34549.0,17758.0,16791.0
2021,성포동,26272.0,12847.0,13425.0
2021,신길동,22471.0,12061.0,10410.0
2021,안산동,9130.0,4794.0,4336.0
2021,와동,38243.0,20194.0,18049.0
2021,원곡동,6045.0,3471.0,2574.0
2021,월피동,38102.0,19447.0,18655.0
2021,이동,23874.0,12812.0,11062.0
2021,일동,24691.0,12606.0,12085.0
2021,중앙동,24506.0,12227.0,12279.0
2021,초지동,46921.0,24090.0,22831.0
2021,해양동,41279.0,20790.0,20489.0
2021,호수동,43745.0,21946.0,21799.0
2022,고잔동,21080.0,10559.0,10521.0
2022,대부동,9240.0,4871.0,4369.0
2022,반월동,17162.0,8636.0,8526.0
2022,백운동,21241.0,10668.0,10573.0
2022,본오1동,36756.0,19097.0,17659.0
2022,본오2동,25570.0,12667.0,12903.0
2022,본오3동,19210.0,9563.0,9647.0
2022,부곡동,21327.0,10950.0,10377.0
2022,사동,31670.0,16661.0,15009.0
2022,사이동,31838.0,16102.0,15736.0
2022,선부1동,17348.0,8819.0,8529.0
2022,선부2동,15627.0,8417.0,7210.0
2022,선부3동,34057.0,17505.0,16552.0
2022,성포동,25562.0,12480.0,13082.0
2022,신길동,22080.0,11849.0,10231.0
2022,안산동,8898.0,4672.0,4226.0
2022,와동,37519.0,19904.0,17615.0
2022,원곡동,5908.0,3365.0,2543.0
2022,월피동,37580.0,19166.0,18414.0
2022,이동,23515.0,12657.0,10858.0
2022,일동,24413.0,12444.0,11969.0
2022,중앙동,23298.0,11574.0,11724.0
2022,초지동,46508.0,23912.0,22596.0
2022,해양동,41163.0,20716.0,20447.0
2022,호수동,43090.0,21686.0,21404.0
2023,고잔동,20396.0,10135.0,10261.0
2023,대부동,9205.0,4819.0,4386.0
2023,반월동,16831.0,8476.0,8355.0
2023,백운동,24221.0,12166.0,12055.0
2023,본오1동,35589.0,18515.0,17074.0
2023,본오2동,24928.0,12238.0,12690.0
2023,본오3동,18627.0,9292.0,9335.0
2023,부곡동,20808.0,10673.0,10135.0
2023,사동,30099.0,15812.0,14287.0
2023,사이동,31111.0,15732.0,15379.0
2023,선부1동,17072.0,8695.0,8377.0
2023,선부2동,14734.0,7949.0,6785.0
2023,선부3동,33122.0,17004.0,16118.0
2023,성포동,25096.0,12238.0,12858.0
2023,신길동,21222.0,11399.0,9823.0
2023,안산동,8674.0,4568.0,4106.0
2023,와동,36697.0,19542.0,17155.0
2023,원곡동,5613.0,3182.0,2431.0
2023,월피동,36464.0,18638.0,17826.0
2023,이동,22805.0,12336.0,10469.0
2023,일동,23444.0,11959.0,11485.0
2023,중앙동,23549.0,11759.0,11790.0
2023,초지동,45838.0,23428.0,22410.0
2023,해양동,40391.0,20246.0,20145.0
2023,호수동,42772.0,21527.0,21245.0
2024,고잔동,19918.0,9923.0,9995.0
2024,대부동,9168.0,4720.0,4448.0
2024,반월동,16559.0,8360.0,8199.0
2024,백운동,24061.0,12073.0,11988.0
2024,본오1동,34738.0,18031.0,16707.0
2024,본오2동,24335.0,11955.0,12380.0
2024,본오3동,18120.0,9071.0,9049.0
2024,부곡동,20217.0,10386.0,9831.0
2024,사동,29292.0,15435.0,13857.0
2024,사이동,30362.0,15370.0,14992.0
2024,선부1동,16820.0,8578.0,8242.0
2024,선부2동,17258.0,9190.0,8068.0
2024,선부3동,32358.0,16618.0,15740.0
2024,성포동,24626.0,12038.0,12588.0
2024,신길동,20787.0,11182.0,9605.0
2024,안산동,8370.0,4390.0,3980.0
2024,와동,35711.0,19028.0,16683.0
2024,원곡동,5367.0,3032.0,2335.0
2024,월피동,35574.0,18211.0,17363.0
2024,이동,22498.0,12240.0,10258.0
2024,일동,22752.0,11618.0,11134.0
2024,중앙동,24288.0,12053.0,12235.0
2024,초지동,45437.0,23218.0,22219.0
2024,해양동,39748.0,19916.0,19832.0
2024,호수동,42215.0,21234.0,20981.0
2025,고잔동,19521.0,9722.0,9799.0
2025,대부동,9112.0,4725.0,4387.0
2025,반월동,17718.0,8927.0,8791.0
2025,백운동,23751.0,11886.0,11865.0
2025,본오1동,34092.0,17694.0,16398.0
2025,본오2동,23835.0,11754.0,12081.0
2025,본오3동,17813.0,8891.0,8922.0
2025,부곡동,19840.0,10222.0,9618.0
2025,사동,28799.0,15199.0,13600.0
2025,사이동,29696.0,15018.0,14678.0
2025,선부1동,16610.0,8420.0,8190.0
2025,선부2동,17088.0,9073.0,8015.0
2025,선부3동,31654.0,16273.0,15381.0
2025,성포동,24191.0,11800.0,12391.0
2025,신길동,20412.0,10934.0,9478.0
2025,안산동,8094.0,4262.0,3832.0
2025,와동,35023.0,18681.0,16342.0
2025,원곡동,5330.0,3010.0,2320.0
2025,월피동,34928.0,17893.0,17035.0
2025,이동,22178.0,12082.0,10096.0
2025,일동,22283.0,11419.0,10864.0
2025,중앙동,23514.0,11695.0,11819.0
2025,초지동,45944.0,23498.0,22446.0
2025,해양동,39272.0,19669.0,19603.0
2025,호수동,41810.0,21062.0,20748.0
